State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.25629	3.53706	3.98361	4.36301	5.06503	6.00455	7.20840	8.59296	10.06869	11.19183	11.85352	12.05068	11.33970	10.20311	8.96339	7.78639	6.59297	5.64151	4.77221	4.02242	3.47724
2	1.55438	1.54803	1.53850	1.53029	1.50271	1.44685	1.36553	1.26777	1.15817	1.07696	1.05643	1.07931	1.15324	1.24078	1.32445	1.39497	1.46537	1.51055	1.54024	1.55961	1.56208
3	0.77362	0.75594	0.73487	0.70789	0.67405	0.63251	0.58452	0.53588	0.49977	0.48037	0.47347	0.47822	0.48955	0.50403	0.51938	0.54080	0.57130	0.60555	0.63922	0.67024	0.69815
4	1.94154	1.89031	1.85444	1.81518	1.75545	1.69741	1.67265	1.64704	1.58986	1.59327	1.62228	1.66239	1.72128	1.78102	1.83137	1.88684	1.95768	2.01144	2.15908	2.33830	2.55251
5	2.53328	2.58559	2.47390	2.36573	2.43551	2.39364	2.29942	2.08656	2.17379	2.15982	2.17029	2.22611	2.27147	2.33429	2.38314	2.58203	2.78440	3.32523	3.73347	4.06498	4.51858
6	2.30905	2.35441	2.30841	2.20662	2.11660	2.00987	1.82925	1.58919	1.34382	1.28551	1.24885	1.23651	1.20992	1.22133	1.32730	1.62565	2.11676	2.70017	3.12501	3.33184	3.31285
7	2.05827	1.99654	2.00445	2.14069	2.13092	2.00201	1.90181	1.73379	1.48453	1.23955	1.15035	1.16379	1.10392	1.04589	1.09110	1.16747	1.27865	1.37274	1.54135	1.72158	1.88653
8	2.14854	2.21943	2.25970	2.18958	2.08643	2.05903	1.88253	1.60610	1.17980	0.90821	0.80103	0.84455	0.94448	1.02104	1.11049	1.12661	1.23460	1.49812	1.70684	1.83498	1.94136
9	1.57865	1.52335	1.65846	1.54790	1.49262	1.30834	1.42197	1.30218	1.43117	1.94098	1.73828	1.11790	0.89678	0.95821	0.86300	0.84765	0.90907	1.07799	1.05649	1.11792	1.22848
10	1.43916	1.35018	1.18179	1.23898	1.20403	1.23262	1.21355	0.96893	1.04517	1.56616	1.60428	0.94033	0.77196	0.75291	0.87998	0.97846	0.89269	1.24214	1.15636	1.18496	1.46452
11	7.11587	8.46501	10.17718	12.66955	15.00982	17.18656	19.00664	19.71628	18.08906	14.91467	11.51144	10.13282	11.73058	16.95410	24.84977	29.86061	29.00203	23.62977	17.99094	13.41684	10.17547
12	6.82119	7.77621	8.99692	10.61882	12.75963	14.98316	16.59743	18.68796	18.30944	12.66662	8.96164	10.01949	11.58119	14.71223	18.41974	20.59561	20.27976	18.02618	16.21880	14.08062	12.09273
13	5.40876	6.26916	7.60206	9.48086	12.38816	16.67694	22.99435	30.76982	39.51980	47.68191	53.09493	53.10507	49.79975	42.58156	32.40389	23.00096	16.13541	11.76662	8.56390	6.48669	5.00485
14	1.81666	1.81503	1.80533	1.62157	1.42653	1.45555	1.38784	1.36204	1.53129	1.63283	1.39588	1.10736	0.94778	0.91394	1.02516	1.05739	1.12832	1.19602	1.27822	1.32498	1.47811
