state (Emission order)	Genome %	DNase.bed.gz	TF_Atf2_Haib.bed.gz	TF_Atf3_Haib.bed.gz	TF_Batf_Haib.bed.gz	TF_Bcl11a_Haib.bed.gz	TF_Bcl3_Haib.bed.gz	TF_Bclaf_Haib.bed.gz	TF_Bhlhe_Sydh.bed.gz	TF_Brca1_Sydh.bed.gz	TF_Cebpb_Haib.bed.gz	TF_Cfos_Sydh.bed.gz	TF_Chd1_Sydh.bed.gz	TF_Chd2_Sydh.bed.gz	TF_Cmyc_Uta.bed.gz	TF_Corest_Sydh.bed.gz	TF_Ctcf_Broad.bed.gz	TF_Ctcf_Sydh.bed.gz	TF_Ctcf_Uta.bed.gz	TF_Ctcf_Uw.bed.gz	TF_E2f4_Sydh.bed.gz	TF_Ebf1_Haib.bed.gz	TF_Ebf1_Sydh.bed.gz	TF_Egr1_Haib.bed.gz	TF_Elf1_Haib.bed.gz	TF_Elk1_Sydh.bed.gz	TF_Ets1_Haib.bed.gz	TF_Ezh2_Broad.bed.gz	TF_Foxm1_Haib.bed.gz	TF_Gabp_Haib.bed.gz	TF_Gcn5_Sydh.bed.gz	TF_Ikzf1_Sydh.bed.gz	TF_Irf3_Sydh.bed.gz	TF_Irf4_Haib.bed.gz	TF_Jund_Sydh.bed.gz	TF_Max_Sydh.bed.gz	TF_Maz_Sydh.bed.gz	TF_Mef2a_Haib.bed.gz	TF_Mef2c_Haib.bed.gz	TF_Mta3_Haib.bed.gz	TF_Mxi_Sydh.bed.gz	TF_Nfat_Haib.bed.gz	TF_Nfe2_Sydh.bed.gz	TF_Nfic_Haib.bed.gz	TF_NfkbTnfa_Sydh.bed.gz	TF_Nfya_Sydh.bed.gz	TF_Nfyb_Sydh.bed.gz	TF_Nrf1_Sydh.bed.gz	TF_Nrsf_Haib.bed.gz	TF_P300Iggmus_Sydh.bed.gz	TF_P300_Haib.bed.gz	TF_P300b_Sydh.bed.gz	TF_Pax5c20_Haib.bed.gz	TF_Pax5n19_Haib.bed.gz	TF_Pbx3_Haib.bed.gz	TF_Pml_Haib.bed.gz	TF_Pol24h8_Haib.bed.gz	TF_Pol2Iggmus_Sydh.bed.gz	TF_Pol2_Haib.bed.gz	TF_Pol2_Sydh.bed.gz	TF_Pol2_Uta.bed.gz	TF_Pol2s2_Sydh.bed.gz	TF_Pol3_Sydh.bed.gz	TF_Pou2f2_Haib.bed.gz	TF_Pu1_Haib.bed.gz	TF_Rad21_Haib.bed.gz	TF_Rad21_Sydh.bed.gz	TF_Rfx5_Sydh.bed.gz	TF_Runx3_Haib.bed.gz	TF_Rxra_Haib.bed.gz	TF_Sin3a_Sydh.bed.gz	TF_Six5_Haib.bed.gz	TF_Smc3_Sydh.bed.gz	TF_Sp1_Haib.bed.gz	TF_Spt20_Sydh.bed.gz	TF_Srf_Haib.bed.gz	TF_Stat1_Sydh.bed.gz	TF_Stat3_Sydh.bed.gz	TF_Stat5_Haib.bed.gz	TF_Taf1_Haib.bed.gz	TF_Tblr1_Sydh.bed.gz	TF_Tbp_Sydh.bed.gz	TF_Tcf12_Haib.bed.gz	TF_Tcf3_Haib.bed.gz	TF_Tr4_Sydh.bed.gz	TF_Usf1_Haib.bed.gz	TF_Usf2_Sydh.bed.gz	TF_Whip_Sydh.bed.gz	TF_Yy1_Haib.bed.gz	TF_Yy1_Sydh.bed.gz	TF_Zbtb33_Haib.bed.gz	TF_Zeb1_Haib.bed.gz	TF_Znf143_Sydh.bed.gz	TF_Znf274_Sydh.bed.gz	TF_Zzz3_Sydh.bed.gz
1	0.37465	9.61744	2.16052	6.49669	1.42883	2.13348	4.04918	3.47707	7.19778	1.04404	1.97494	4.68590	5.00905	5.11669	7.03981	4.28556	9.20934	9.16144	9.46947	9.61340	5.45032	5.99652	4.60167	12.70950	8.92198	3.23914	2.73868	83.08271	3.18738	4.24079	12.47461	2.41847	0.91025	2.59400	0.66123	8.28236	9.75057	2.28544	2.27243	2.89604	6.03248	2.39480	4.05428	1.71095	2.69965	3.77013	4.98263	7.89679	15.12322	2.52935	3.68702	1.93286	6.00731	4.96920	5.76032	3.00615	3.70293	5.26098	7.45426	4.24859	5.08460	4.26233	0.42953	3.84459	2.56673	7.19745	6.94151	4.56624	3.73809	2.57403	5.96272	1.67448	7.39056	4.91778	17.79440	4.90224	13.88418	1.97302	3.63406	4.26946	3.62446	3.60676	6.28141	6.70010	6.31188	9.16713	5.51709	4.09620	6.98965	1.44466	3.77277	11.68092	9.21160	4.32208	19.60117
2	4.34846	1.25813	0.87344	0.51490	0.98141	1.18150	1.69454	0.66919	1.00962	0.04498	1.00829	0.35208	0.64058	0.75933	0.38568	0.91535	0.58485	0.71889	0.65647	0.45182	0.17889	1.58837	1.72873	0.73092	0.70142	0.38062	0.30489	3.40992	0.74709	0.29414	0.19004	1.22417	0.00000	0.97503	0.66644	0.65403	0.70517	0.86250	0.85981	0.91221	0.59722	1.37058	0.71051	0.94441	1.22282	0.20714	0.97144	0.11635	2.49105	1.05112	1.17686	1.15465	0.98692	1.18251	1.30597	0.67415	0.77267	0.65945	0.53528	0.39582	0.61755	0.53602	0.00000	0.87962	1.30378	0.45977	0.40548	0.64453	0.98103	0.56409	0.43767	0.20989	0.34229	0.87265	0.00000	0.75836	1.00575	0.80310	1.15303	0.54950	0.90828	0.76574	1.25073	1.24080	1.87684	1.25619	0.87020	0.92450	0.50266	0.73100	0.83217	0.94600	0.25510	0.29048	2.28689
3	83.85198	0.36493	0.51106	0.11923	0.62051	0.60466	0.49552	0.21172	0.35043	0.01633	0.48459	0.06932	0.21931	0.26148	0.05280	0.29728	0.17126	0.22334	0.17525	0.10918	0.04353	0.44986	0.56196	0.14892	0.13470	0.10692	0.08546	0.17183	0.41049	0.05528	0.04373	0.57670	0.01139	0.48802	0.57077	0.14663	0.14639	0.55030	0.53993	0.43017	0.19027	0.49801	0.19474	0.57397	0.50806	0.07838	0.48371	0.02606	0.43587	0.57087	0.43475	0.62262	0.38830	0.44627	0.33979	0.27687	0.16138	0.16944	0.09178	0.07536	0.11371	0.11280	0.01330	0.34589	0.63512	0.18018	0.15347	0.19749	0.50086	0.18328	0.08489	0.11743	0.11629	0.30161	0.07951	0.25170	0.16715	0.47797	0.40208	0.14531	0.38663	0.28782	0.35812	0.32331	0.36225	0.27596	0.31414	0.24827	0.19446	0.42160	0.16581	0.15298	0.05691	0.88975	0.45762
4	3.79253	1.31399	1.16973	0.33182	1.14579	1.24935	1.67801	0.80143	0.96497	0.15471	1.16648	0.21201	0.41421	0.67188	0.28678	0.66931	0.72733	0.81434	0.71945	0.63500	0.12373	1.26311	1.23206	0.54594	0.54937	0.29406	0.25828	0.44782	0.93349	0.26496	0.00000	1.13342	0.08063	1.11628	1.13471	0.53317	0.50940	1.20394	1.06744	1.28266	0.65325	1.88046	0.71586	1.21575	1.12797	0.17906	0.68972	0.11099	0.65338	1.20864	1.12240	1.24894	1.10073	1.19893	1.07477	0.88210	2.50999	0.99973	2.87474	0.47499	0.83233	1.78106	0.00000	0.92105	1.23255	0.62469	0.55340	0.44828	1.17671	0.79882	0.31820	0.18513	0.50648	0.77570	0.00000	0.61826	0.65411	1.01080	1.34580	0.31458	0.94627	0.58565	0.95980	1.07990	1.37714	0.86891	0.91527	0.88211	0.59633	0.66782	0.63253	0.71375	0.29760	5.31437	0.49724
5	0.58677	5.02440	3.68792	2.46364	3.46295	3.56703	4.76824	5.26663	3.70875	0.00000	4.01471	0.74429	2.19123	3.28230	1.81573	1.88095	4.81764	4.48562	4.89972	5.21644	0.81670	5.08708	4.14743	2.93562	4.27485	1.69089	1.93008	2.06751	4.40378	1.57987	1.55039	3.41336	0.52118	4.36813	3.57144	2.91739	3.50132	3.53284	3.39078	4.86234	3.35014	5.76885	2.64630	3.47094	3.50479	1.46347	1.76728	1.00119	1.46338	3.36447	3.79473	3.42609	4.21886	3.88621	4.43270	3.42024	8.97644	4.52679	7.91181	2.45713	3.10627	6.17136	0.32100	4.11639	3.34843	5.10169	5.20159	2.19101	4.12552	4.67915	1.77842	0.91326	5.63607	3.11281	0.00000	2.72243	2.84807	4.17909	5.26156	1.58920	3.68268	2.22583	4.35424	4.47849	3.52969	4.11075	4.18768	6.03406	4.58018	2.34927	2.09852	3.89474	5.98238	1.77464	2.17904
6	2.73844	2.45905	2.89733	0.82022	3.12282	3.17350	2.84664	1.52232	2.40178	0.00000	3.37207	0.43994	1.88887	1.85474	0.53509	2.07663	0.77859	0.87370	0.73063	0.57568	0.33881	3.03660	3.04753	1.45981	1.43811	1.04583	0.76096	1.39009	2.45282	0.47538	0.24852	4.42571	0.00000	2.82892	3.35293	1.36785	1.39776	2.66804	2.65545	2.89308	1.60904	2.95618	1.17411	3.13774	3.10372	0.48468	1.60878	0.19159	0.93930	3.05731	3.05914	3.38520	2.13993	2.64140	2.37400	1.92928	1.32612	1.51302	0.76103	0.73232	1.01683	0.75015	0.02471	2.23948	2.97726	0.78691	0.73705	1.23868	2.78857	1.18137	0.89215	0.33227	0.73397	2.08558	0.00000	1.76788	1.35555	2.91175	2.56254	1.19057	2.51314	1.99294	2.59703	2.31392	1.99977	1.82390	2.26060	2.65182	1.25007	2.23974	0.84620	1.34256	0.35771	0.06188	1.87683
7	0.78465	2.24578	3.67346	0.75543	3.15734	3.59711	3.13728	2.09500	2.65168	0.24925	4.39349	0.29311	2.70810	2.44593	0.70400	2.73316	1.13915	1.13444	1.04127	0.93620	0.61559	3.59941	3.62945	1.51457	1.76582	1.36277	0.79361	1.36398	3.22790	0.64814	1.94413	5.80365	0.00000	3.14305	3.62325	1.95789	1.89729	3.28258	3.09630	3.89070	1.88656	3.28822	0.94667	3.91778	3.74903	0.58778	1.63559	0.27921	0.83249	3.75141	3.96738	4.09858	2.35607	2.90285	2.27908	2.77691	1.96110	2.12378	0.99303	0.95049	1.53323	1.16089	0.00000	2.38080	2.96250	1.29016	1.20230	1.50722	2.99078	1.39828	1.26046	0.38758	1.35279	2.42219	0.00000	1.94476	2.18030	3.88808	3.39788	1.71271	3.30767	2.83039	2.83767	2.58734	1.02329	1.66606	2.40575	3.31585	1.81695	3.15076	1.05204	1.31667	0.83663	0.20866	2.40286
8	0.44847	1.15433	1.76354	0.26974	1.88664	1.82225	1.67363	0.75481	1.02133	0.00000	1.96354	0.20497	0.79348	0.84635	0.19824	0.95368	0.40471	0.48342	0.38861	0.30606	0.25137	1.47398	1.83374	0.50314	0.59233	0.55986	0.28468	0.48672	1.52320	0.08345	1.57427	2.07659	0.00000	1.39003	2.01888	0.50894	0.42480	1.71534	2.05535	1.62202	0.81403	1.64531	0.63211	2.02228	1.91306	0.18695	0.86588	0.13672	0.35394	1.74461	1.75103	1.96344	1.17567	1.46584	1.01650	1.22879	0.83655	0.80397	0.39166	0.34937	0.61403	0.42073	0.00000	1.07654	1.43172	0.52144	0.47081	0.45301	1.39992	0.37128	0.50623	0.22339	0.35340	1.02423	0.00000	0.77689	0.84116	1.68916	1.47663	0.65206	1.25792	1.16576	1.25419	1.09672	0.34314	0.80188	1.00877	1.11934	0.86460	2.31070	0.61587	0.64810	0.15555	0.00000	1.29159
9	0.48057	6.74496	12.15617	3.79654	14.57361	14.61344	13.27033	10.16447	9.78982	0.40696	15.76415	2.97348	6.69740	8.84770	2.48667	10.40895	4.40602	4.43270	4.57120	4.37771	1.85209	10.67112	9.91802	6.63905	6.99221	4.93001	3.96355	5.42840	10.82415	2.60432	6.41116	15.56083	0.51872	12.75775	24.27210	6.55255	6.44622	10.79088	11.11081	11.49922	6.47038	12.44889	3.30149	11.67392	12.09880	2.17524	5.00854	2.01312	2.34385	12.48102	17.09553	17.45895	8.24295	10.96733	10.01915	8.43662	4.96341	5.85383	3.64737	3.44570	3.97043	3.61755	0.97414	9.06800	6.32258	6.04825	5.89284	6.37863	8.94124	11.04306	3.44585	1.71884	6.22155	10.32853	0.00000	8.57267	5.13901	12.84284	11.99748	4.96840	10.30528	8.24529	10.96325	10.73465	3.01151	6.63426	8.75711	7.88974	6.39435	5.15987	5.04782	7.75474	5.05947	0.67798	2.03866
10	0.51758	5.10598	7.60533	1.93921	13.31720	10.75838	8.22420	4.92037	5.51745	0.37787	8.39427	1.88888	2.47213	4.04159	0.76101	4.83266	3.34920	3.55414	3.68675	3.68317	0.99669	6.19305	6.29405	2.81110	2.86597	2.18094	2.57914	2.88704	6.72772	1.09782	1.23886	8.30587	0.35630	9.89290	21.17363	2.40998	2.72267	8.03265	8.43398	5.94499	2.78895	6.85411	4.33618	7.25153	7.32771	1.34966	3.46944	0.70446	2.23542	7.50168	9.31986	11.14640	5.42737	6.63935	6.70910	4.16395	1.24803	2.03850	0.79421	1.04068	0.96416	0.81581	0.70663	5.76261	4.43033	4.73508	4.44241	3.82118	6.67453	5.58514	0.99271	1.53239	4.48582	5.64790	0.00000	4.50489	2.25744	6.62209	6.11136	2.04855	5.53504	3.63797	6.48252	5.51236	1.01222	3.14185	4.86622	3.31273	3.87228	3.61031	1.91417	3.20033	4.07845	0.31633	1.80160
11	0.58138	10.68720	5.20382	8.20541	4.03736	3.65042	3.33853	9.18165	8.16652	4.01175	4.97301	14.17097	9.14016	8.38380	6.68192	6.19099	7.71177	7.37975	7.60710	8.33158	8.64072	6.55889	5.57529	10.58694	11.41949	8.22156	9.28058	12.97761	6.94709	9.20858	3.43211	4.03559	10.79587	5.74195	2.82395	10.57428	12.64412	5.42696	4.88531	6.54131	11.18312	3.54332	9.91440	4.49836	4.35883	13.49215	8.48655	12.12424	5.22846	4.54395	4.14858	3.25836	8.10660	5.54309	9.21546	6.59756	5.74772	9.42898	8.28047	5.88529	7.73121	5.67704	61.16260	6.82462	5.37475	8.00746	8.18722	9.07817	6.24796	7.66404	11.20846	9.71520	8.94296	8.99314	20.89313	7.82955	11.66856	7.06773	5.37478	7.67110	6.85469	9.14313	6.42984	6.39291	5.37896	9.01886	9.46968	12.98590	9.93093	12.33216	5.40723	12.72560	12.61760	0.84485	8.38718
12	0.37722	14.12939	11.84473	13.94421	7.42157	8.56480	9.66825	18.86380	16.84659	11.64261	12.55434	10.67974	26.86751	18.41610	26.54457	17.02699	7.95495	8.01807	7.93494	8.15448	20.90011	13.55140	10.39223	18.16399	20.20567	20.02474	12.96640	17.73447	12.71279	16.37756	25.86532	10.54900	5.85664	10.47226	5.55123	26.48930	21.94936	8.29572	8.31923	19.26921	23.44284	12.68369	18.38149	10.13912	11.56044	13.21640	11.29535	18.75707	9.22117	9.89011	12.75027	8.12550	13.16494	12.52771	13.30294	19.18812	25.27730	24.96578	26.57542	24.32820	24.74620	22.91770	8.82298	14.22731	8.84960	7.14326	6.98040	17.61465	10.42740	15.83692	26.17920	9.86112	8.46863	14.47654	0.00000	15.26999	24.50079	15.39010	16.20105	19.75267	15.74758	20.82333	12.85734	14.00936	10.01373	19.05661	19.88943	25.65364	12.97900	17.32880	14.37318	20.89358	10.97730	0.00000	11.52040
13	0.53870	29.96448	27.26786	110.97219	6.97051	9.56528	22.41308	69.38324	49.57195	166.97688	23.70352	135.28613	84.40577	75.37445	131.22496	70.77091	15.09060	17.28283	15.33169	16.26167	137.02382	23.01036	12.34483	93.53829	86.17283	117.79234	130.89928	19.94026	30.91138	137.89747	132.79481	4.83298	164.79877	20.39119	3.52309	91.06778	83.97396	22.99453	28.23107	34.35514	85.81158	21.93077	95.93431	20.35076	26.25938	129.19398	53.50597	140.68584	53.08737	19.67756	31.31743	3.78450	41.88913	35.67228	48.76646	75.56734	83.53569	90.81147	94.81769	128.43176	111.47309	108.38717	106.70617	51.09714	15.40828	12.29533	9.54745	94.94301	23.98861	79.46148	117.04485	137.91524	11.56241	65.60608	138.33169	80.31461	81.67918	24.71509	39.72644	113.03592	47.58517	72.77270	44.90370	53.23020	62.73312	64.98636	55.67596	45.17059	58.67110	48.67261	111.99744	79.03849	38.39876	0.00000	35.87474
14	0.57858	16.95759	4.09742	12.14269	3.65538	1.90640	1.89826	14.67587	5.54731	0.33803	2.73683	1.00250	1.76506	3.86157	1.41720	3.34504	88.81908	77.60283	87.32931	97.94830	5.06265	6.73091	4.63170	4.01999	11.41597	4.47264	2.58103	4.40858	18.85536	1.86604	0.00000	1.38402	0.68232	11.59509	2.43255	5.04509	10.60670	6.81668	4.46463	2.20321	4.09405	2.18605	4.05178	1.96460	3.08961	6.10706	2.41513	2.23444	4.89608	1.90663	1.99761	1.34141	12.09206	4.67953	5.72841	2.36574	0.83027	1.11919	0.89600	0.40910	0.59669	1.01875	2.18401	12.33684	3.90389	90.04985	98.12979	5.27411	11.40824	16.43127	2.11020	1.34507	99.55400	3.99966	0.00000	5.31114	4.82621	8.28633	3.12321	0.95561	5.36502	2.13845	8.09035	6.41912	4.66844	5.77266	6.25803	16.08985	36.90271	5.35754	2.93718	9.41644	82.30248	0.00000	5.37739
