state (Emission order)	Genome %	DNase.h1ESC.hg19.bed.gz	TF_Atf2.h1ESC.hg19.bed.gz	TF_Atf3.h1ESC.hg19.bed.gz	TF_Bach1.h1ESC.hg19.bed.gz	TF_Bcl11a.h1ESC.hg19.bed.gz	TF_Brca1.h1ESC.hg19.bed.gz	TF_Cebpb.h1ESC.hg19.bed.gz	TF_Chd1.h1ESC.hg19.bed.gz	TF_Chd2.h1ESC.hg19.bed.gz	TF_Cjun.h1ESC.hg19.bed.gz	TF_Cmyc.h1ESC.hg19.bed.gz	TF_Ctbp2.h1ESC.hg19.bed.gz	TF_Ctcf.h1ESC.hg19.bed.gz	TF_Egr1.h1ESC.hg19.bed.gz	TF_Ezh.h1ESC.hg19.bed.gz	TF_Fosl1.h1ESC.hg19.bed.gz	TF_Gabp.h1ESC.hg19.bed.gz	TF_Gtf2f1.h1ESC.hg19.bed.gz	TF_Hdac2.h1ESC.hg19.bed.gz	TF_Jarid1.h1ESC.hg19.bed.gz	TF_Jund.h1ESC.hg19.bed.gz	TF_Mafk.h1ESC.hg19.bed.gz	TF_Max.h1ESC.hg19.bed.gz	TF_Mxi1.h1ESC.hg19.bed.gz	TF_Nanog.h1ESC.hg19.bed.gz	TF_Nrf1.h1ESC.hg19.bed.gz	TF_Nrsf.h1ESC.hg19.bed.gz	TF_P300.h1ESC.hg19.bed.gz	TF_Pol2.h1ESC.hg19.bed.gz	TF_Pol24h8.h1ESC.hg19.bed.gz	TF_Pou5f1.h1ESC.hg19.bed.gz	TF_Rad21.h1ESC.hg19.bed.gz	TF_Rbbp5.h1ESC.hg19.bed.gz	TF_Rfx5.h1ESC.hg19.bed.gz	TF_Rxra.h1ESC.hg19.bed.gz	TF_Sin3a.h1ESC.hg19.bed.gz	TF_Six5.h1ESC.hg19.bed.gz	TF_Sp1.h1ESC.hg19.bed.gz	TF_Sp2.h1ESC.hg19.bed.gz	TF_Sp4.h1ESC.hg19.bed.gz	TF_Srf.h1ESC.hg19.bed.gz	TF_Suz12.h1ESC.hg19.bed.gz	TF_Taf1.h1ESC.hg19.bed.gz	TF_Taf7.h1ESC.hg19.bed.gz	TF_Tbp.h1ESC.hg19.bed.gz	TF_Tcf12.h1ESC.hg19.bed.gz	TF_Tead4.h1ESC.hg19.bed.gz	TF_Usf1.h1ESC.hg19.bed.gz	TF_Usf2.h1ESC.hg19.bed.gz	TF_Yy1.h1ESC.hg19.bed.gz	TF_Znf143.h1ESC.hg19.bed.gz
1	0.45105	22.87336	7.84658	8.56561	17.64340	4.37309	11.84123	4.71620	24.49405	12.13149	7.86549	12.18884	46.15971	8.42817	25.93142	101.94135	22.73962	27.20117	9.90403	17.77246	3.30842	8.19995	3.21365	16.36137	16.76103	7.05870	17.23891	12.67863	13.07959	8.74765	6.67666	4.21398	8.62018	31.87544	11.88283	14.14413	19.51350	4.80991	10.32030	9.61587	12.08780	6.71326	68.08624	16.50425	13.05536	17.27838	14.43721	8.55349	9.55829	13.85820	12.49773	12.41692
2	5.74135	3.69359	0.84831	0.65292	0.86457	1.47458	0.45502	0.99199	1.04274	0.67461	0.58033	0.49241	2.75649	1.55836	1.33502	5.94664	1.07319	1.21745	0.28244	1.45364	0.14218	0.73826	0.99737	1.45276	1.01704	1.73272	0.32929	3.04662	1.03132	0.34684	0.41778	1.65515	1.49423	0.97071	1.63774	1.48999	1.07940	0.67939	1.27306	0.61620	0.48016	0.98707	5.66325	0.43273	0.49689	0.77410	1.63011	1.49925	1.78717	1.52260	1.05209	1.16346
3	85.21136	0.30155	0.24878	0.15988	0.24627	0.68625	0.07430	0.59652	0.08196	0.12259	0.23196	0.09713	0.14957	0.44971	0.13374	0.03937	0.18248	0.06490	0.06473	0.33278	0.00787	0.25062	0.66097	0.28614	0.10517	0.63814	0.02998	0.58206	0.32086	0.12697	0.19285	0.72650	0.45074	0.09123	0.34887	0.30847	0.11648	0.27326	0.31430	0.10219	0.06731	0.42794	0.23728	0.07786	0.09202	0.10832	0.40658	0.45817	0.51894	0.31155	0.28808	0.26389
4	0.78945	2.05841	1.56986	0.38494	0.30780	1.02706	0.75894	0.79348	0.43137	0.75899	0.31036	0.30067	0.37645	1.10347	0.55503	0.07933	0.59029	0.35397	0.97431	0.48579	0.00000	0.47550	0.84290	0.61060	0.39056	1.06291	0.31904	1.05351	0.62918	4.73488	8.34461	0.84414	0.99991	0.15541	0.63980	0.79540	0.44098	0.75287	0.67905	0.30427	0.51504	0.54132	2.83583	0.14768	0.47692	0.22765	0.70017	0.78421	0.86736	0.90652	0.53733	0.69968
5	0.19308	4.44138	7.66517	3.92847	3.38427	2.55645	2.80911	3.23808	2.53408	3.72545	4.30180	2.76995	2.33501	4.07204	2.17488	0.32211	2.78479	5.48722	2.31455	2.27137	0.00000	5.10546	3.09018	2.03619	2.55609	2.56348	1.80420	2.26425	3.23680	13.90661	20.91619	1.18421	3.81301	1.18678	3.67250	3.30953	3.67118	1.96901	3.87580	0.36765	3.57359	2.30620	3.20385	1.53858	3.72591	1.77979	3.10560	3.06768	2.70498	3.48862	3.36157	4.96055
6	3.54745	2.40805	1.92974	1.40583	2.20253	2.88868	0.44649	2.63150	0.67974	0.96531	3.16633	0.98318	1.70852	1.54508	1.19521	0.33628	1.14153	0.95845	0.39871	1.92002	0.05148	3.16819	2.78680	1.93015	1.09909	2.24542	0.24200	1.79689	2.19321	1.02803	1.31445	2.32383	1.53261	1.16125	1.74952	2.84865	1.40116	1.13133	2.30613	0.49379	0.76321	1.70010	1.30349	0.87277	0.57883	0.92891	2.58697	2.87262	2.36551	1.92803	1.49491	1.09464
7	1.10277	1.79940	3.53866	2.12198	3.45509	3.59450	0.66101	3.20587	0.99623	1.39375	5.78093	1.60837	1.82295	1.80400	1.35794	0.17422	1.31419	1.03309	0.57026	2.24254	0.14015	5.08006	3.60831	2.16601	1.18760	2.41750	0.11082	1.19356	2.69260	1.21416	1.19785	1.86554	1.81460	1.54887	2.04338	2.55227	1.61258	1.15721	2.58148	0.54585	1.31199	2.48708	0.32839	1.24737	0.77054	1.19608	2.69709	3.26138	2.49499	1.94810	1.86946	1.73981
8	0.83599	0.28774	0.72250	0.42620	1.02495	1.11200	0.29911	1.42726	0.45403	0.20836	1.27862	0.19537	0.21107	0.57017	0.20190	0.03863	0.14064	0.08257	0.11027	0.40829	0.08660	0.94973	1.62752	0.51308	0.16587	0.71732	0.11716	0.46917	0.76080	0.48691	0.61045	1.06900	0.53422	0.21388	0.58759	0.25661	0.23794	0.52408	0.61764	0.28518	0.15325	1.54501	0.05488	0.30975	0.31225	0.30927	0.53227	0.83063	0.66116	0.49353	0.44954	0.35383
9	0.21936	3.03508	13.12459	10.92692	15.56255	12.15225	2.64729	13.26638	1.36887	6.52086	41.35218	6.97939	5.00598	4.71987	5.04462	0.09936	4.50357	3.06084	2.61633	6.69733	0.40234	27.37040	15.58335	7.10605	4.95171	6.83311	1.22398	2.49624	12.21432	4.22523	4.66000	4.73269	5.23811	3.77871	6.75833	10.16882	5.15545	2.63744	9.74524	0.90271	4.52850	6.70321	0.64438	3.97479	3.37258	4.72601	9.97594	10.21556	5.50179	6.85350	5.87090	5.66500
10	0.21207	2.21378	4.97316	7.59266	9.86051	9.53901	1.89667	10.69639	0.30273	2.88349	26.25411	3.53718	2.30587	3.81562	2.54865	0.32998	4.20547	1.91967	1.35536	5.07794	0.12754	21.28495	10.33568	4.64581	3.01210	5.66405	0.87080	2.91615	5.94770	1.17271	1.36279	5.59311	4.25584	1.54357	4.59537	4.77348	3.00154	3.46481	5.51403	0.67172	1.37602	3.20648	0.90889	1.82762	1.19589	2.05953	6.34506	7.11802	3.95378	3.37667	3.79588	4.27310
11	0.41195	14.01526	13.81524	15.13863	16.94813	4.12643	15.32862	7.42469	19.93623	21.41138	9.05730	19.66981	18.70690	7.21789	21.15537	10.76047	15.95503	17.89513	15.86603	16.70674	8.22414	10.92933	5.97623	19.23941	20.76808	6.90120	27.00649	6.20537	12.48697	15.63095	12.48814	6.35991	7.81115	21.37723	12.72587	12.75361	21.09311	16.18493	16.97131	22.56177	23.52989	8.70544	4.78012	21.40873	16.67821	21.68994	12.38893	9.96771	10.08813	15.52072	13.72321	13.10556
12	0.26875	13.58196	21.89822	17.29570	16.69717	13.93319	19.17516	9.50260	29.16755	17.53445	27.72708	23.99069	22.37755	5.87666	19.89563	9.91534	24.65901	14.31774	19.17222	14.95183	7.00755	17.60580	8.58938	17.89201	21.02234	9.93006	16.02850	6.28217	19.05059	23.81353	21.96249	8.22886	5.75185	20.97203	23.99974	27.53367	20.34566	13.03005	18.26598	14.76105	25.02689	10.79304	10.08125	20.72885	19.47410	20.62219	15.60610	11.10124	11.45730	18.13885	12.37222	9.05602
13	0.59740	23.91030	53.62856	71.14744	48.60553	5.40614	99.81129	14.68758	91.12812	88.37234	37.35848	83.73028	39.34764	8.76623	71.81821	12.86984	69.58840	66.59045	114.45235	43.34873	150.67045	34.84685	8.23014	41.96799	82.36208	14.78264	115.25316	14.84702	48.35349	95.03129	79.26775	8.89014	8.69186	82.81517	42.63148	28.39408	72.91134	86.22815	51.12806	108.24917	96.68621	51.35226	4.87593	102.82228	104.55292	89.91429	23.42075	18.91170	24.44069	47.35204	47.37831	22.59885
