State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.37413	3.56736	3.95019	4.47295	5.26998	6.09278	7.27080	8.50585	9.71151	10.59681	11.16190	11.60919	11.39199	10.59136	9.41884	8.25368	7.06091	5.91784	4.97724	4.15816	3.61515
2	1.87483	1.89416	1.90184	1.88248	1.83348	1.74774	1.62286	1.47348	1.33123	1.21584	1.16507	1.16724	1.24449	1.36047	1.50292	1.61317	1.70484	1.79552	1.84966	1.88029	1.88998
3	0.78030	0.76458	0.74387	0.71822	0.68535	0.64567	0.59886	0.54843	0.50860	0.48802	0.48087	0.48681	0.49981	0.51548	0.53315	0.55637	0.58824	0.62039	0.65286	0.68059	0.70474
4	1.90688	1.86106	1.80842	1.78406	1.72170	1.69247	1.64374	1.63789	1.62327	1.64275	1.69146	1.75090	1.80351	1.81814	1.89122	1.96235	2.04419	2.12116	2.23516	2.34626	2.45831
5	2.14318	2.07026	2.11761	2.13219	2.14677	2.28527	2.23058	2.15403	2.12487	2.05561	2.15037	2.13215	2.18317	2.18683	2.25244	2.36907	2.53673	2.90120	3.22193	3.59736	3.90717
6	2.21025	2.19836	2.19732	2.15905	2.14568	2.05193	1.90552	1.71682	1.48052	1.32993	1.26141	1.26542	1.25373	1.30270	1.44943	1.78133	2.24877	2.68963	2.99028	3.16745	3.16193
7	2.05426	2.19492	2.18711	2.18099	2.14040	2.07533	1.95131	1.77224	1.44971	1.21504	1.13885	1.12495	1.07490	1.02820	1.06268	1.21004	1.27232	1.38187	1.41245	1.40468	1.49143
8	2.26944	2.24720	2.27160	2.27383	2.25383	2.24605	2.05387	1.56178	1.21188	1.12523	1.09635	1.00193	1.00082	1.05192	1.10302	1.07969	1.13856	1.19077	1.33073	1.44293	1.51624
9	1.93574	1.85347	1.89750	1.83288	1.81526	1.56559	1.50683	1.55675	1.62431	2.08545	1.96209	1.49800	1.19252	1.10735	1.04567	1.00748	1.05154	1.23365	1.33058	1.42165	1.30416
10	1.55302	1.45083	1.53097	1.59070	1.37379	1.39108	1.35649	1.31875	1.38163	1.92704	1.99777	1.22287	0.99495	0.92266	1.13014	1.13171	1.29361	1.51523	1.38320	1.46652	1.47595
11	6.23554	7.19432	8.59615	10.24198	12.14292	14.28888	16.27137	17.86561	17.65415	15.94669	12.31049	11.08649	13.29171	18.68012	24.18033	26.30277	24.14789	20.00818	16.17281	12.91260	10.60554
12	5.43340	6.25255	7.37768	9.07348	11.29683	13.62536	15.93307	18.02400	17.92518	12.75171	9.08445	12.08073	15.93923	20.13575	21.28167	18.89420	16.03178	13.56143	11.42099	9.85119	8.66541
13	4.81378	5.49129	6.28061	7.74263	10.10588	14.20085	21.19835	30.74152	43.23679	56.79569	68.52946	67.14476	57.49298	41.34720	26.29631	16.86976	11.13194	7.68003	5.54377	4.09824	3.26280
14	1.78303	1.83127	1.77927	1.70503	1.57759	1.55903	1.47488	1.44394	1.59489	1.81883	1.54910	1.19771	1.03686	1.03686	0.99356	1.10615	1.20019	1.32763	1.31031	1.36476	1.47859
