state (Emission order)	Genome %	DNase.h1ESC.hg19.bed.gz	TF_Atf2.h1ESC.hg19.bed.gz	TF_Atf3.h1ESC.hg19.bed.gz	TF_Bach1.h1ESC.hg19.bed.gz	TF_Bcl11a.h1ESC.hg19.bed.gz	TF_Brca1.h1ESC.hg19.bed.gz	TF_Cebpb.h1ESC.hg19.bed.gz	TF_Chd1.h1ESC.hg19.bed.gz	TF_Chd2.h1ESC.hg19.bed.gz	TF_Cjun.h1ESC.hg19.bed.gz	TF_Cmyc.h1ESC.hg19.bed.gz	TF_Ctbp2.h1ESC.hg19.bed.gz	TF_Ctcf.h1ESC.hg19.bed.gz	TF_Egr1.h1ESC.hg19.bed.gz	TF_Ezh.h1ESC.hg19.bed.gz	TF_Fosl1.h1ESC.hg19.bed.gz	TF_Gabp.h1ESC.hg19.bed.gz	TF_Gtf2f1.h1ESC.hg19.bed.gz	TF_Hdac2.h1ESC.hg19.bed.gz	TF_Jarid1.h1ESC.hg19.bed.gz	TF_Jund.h1ESC.hg19.bed.gz	TF_Mafk.h1ESC.hg19.bed.gz	TF_Max.h1ESC.hg19.bed.gz	TF_Mxi1.h1ESC.hg19.bed.gz	TF_Nanog.h1ESC.hg19.bed.gz	TF_Nrf1.h1ESC.hg19.bed.gz	TF_Nrsf.h1ESC.hg19.bed.gz	TF_P300.h1ESC.hg19.bed.gz	TF_Pol2.h1ESC.hg19.bed.gz	TF_Pol24h8.h1ESC.hg19.bed.gz	TF_Pou5f1.h1ESC.hg19.bed.gz	TF_Rad21.h1ESC.hg19.bed.gz	TF_Rbbp5.h1ESC.hg19.bed.gz	TF_Rfx5.h1ESC.hg19.bed.gz	TF_Rxra.h1ESC.hg19.bed.gz	TF_Sin3a.h1ESC.hg19.bed.gz	TF_Six5.h1ESC.hg19.bed.gz	TF_Sp1.h1ESC.hg19.bed.gz	TF_Sp2.h1ESC.hg19.bed.gz	TF_Sp4.h1ESC.hg19.bed.gz	TF_Srf.h1ESC.hg19.bed.gz	TF_Suz12.h1ESC.hg19.bed.gz	TF_Taf1.h1ESC.hg19.bed.gz	TF_Taf7.h1ESC.hg19.bed.gz	TF_Tbp.h1ESC.hg19.bed.gz	TF_Tcf12.h1ESC.hg19.bed.gz	TF_Tead4.h1ESC.hg19.bed.gz	TF_Usf1.h1ESC.hg19.bed.gz	TF_Usf2.h1ESC.hg19.bed.gz	TF_Yy1.h1ESC.hg19.bed.gz	TF_Znf143.h1ESC.hg19.bed.gz
1	0.36601	23.80218	7.99166	7.28783	16.33383	3.36300	7.42032	4.40661	28.86131	11.02523	6.55107	10.64515	54.59235	8.37883	26.54610	135.91223	19.60043	26.26955	7.81158	17.67621	2.96978	7.66122	2.76800	16.25218	16.18529	6.87600	14.08180	13.64454	12.05481	7.66506	5.83443	4.08845	8.33419	32.56107	11.09685	12.32374	19.22752	3.40858	10.69782	8.13896	11.31440	6.01366	88.87840	14.73023	11.99988	16.38592	14.77746	8.55721	9.23289	12.76860	11.98734	11.55790
2	3.40994	4.20664	0.95522	0.62693	0.85339	1.60020	0.49397	1.01161	1.24927	0.75488	0.58807	0.42010	3.10356	1.46682	1.45219	7.27252	1.26094	1.17521	0.30264	1.49813	0.07574	0.74698	1.03384	1.46845	1.02090	1.77891	0.40708	3.32548	1.09769	0.38467	0.45836	1.70045	1.42532	1.11230	1.76025	1.58053	1.17683	0.67465	1.43229	0.70015	0.52957	1.04775	6.45721	0.49134	0.51228	0.81813	1.80651	1.56850	1.88144	1.48874	1.07678	1.05499
3	86.86150	0.34712	0.24131	0.15304	0.25773	0.68526	0.07079	0.57844	0.08578	0.12246	0.21767	0.09367	0.16595	0.40717	0.13757	0.05443	0.18424	0.06812	0.06395	0.34356	0.00741	0.23783	0.67516	0.29175	0.10903	0.65288	0.03018	0.61677	0.32192	0.13262	0.20414	0.73897	0.42069	0.09550	0.36945	0.31894	0.12278	0.27662	0.31503	0.09870	0.06855	0.42179	0.27710	0.08079	0.09400	0.11355	0.40379	0.44047	0.52840	0.32223	0.27767	0.23623
4	0.69144	2.03198	1.20636	0.35858	0.37796	0.87387	0.49083	0.66715	0.46621	0.75975	0.31403	0.32418	0.39581	1.06656	0.43228	0.06485	0.12961	0.43263	0.40952	0.45439	0.05912	0.52591	0.96255	0.59031	0.37249	0.58318	0.31462	0.99826	0.48848	4.43306	7.33265	0.85323	0.92150	0.23601	0.70507	0.25415	0.34471	0.86581	0.69001	0.49275	0.39049	0.45286	1.60391	0.15404	0.46974	0.21360	0.62360	0.52580	0.91236	0.73804	0.50995	0.52399
5	0.18484	4.48634	5.87449	2.92736	2.72270	2.38338	2.65661	2.38722	2.01136	3.47643	1.98225	2.47784	2.12590	3.39340	1.65090	0.69125	2.51910	4.85342	2.01300	2.56876	0.40046	3.26412	2.37736	1.92818	2.07086	2.05314	1.37305	1.76372	2.32818	12.72129	18.36287	1.47891	3.15366	1.11535	3.32752	5.99687	2.72119	2.25446	3.09852	0.16098	3.55852	2.17065	1.73041	1.33338	3.77812	1.80310	2.65796	2.77487	2.41915	3.29271	2.77195	4.10301
6	4.03126	2.25984	1.76172	1.21652	1.96888	2.51504	0.43906	2.67453	0.75672	0.95251	2.61768	0.91307	1.60969	1.31715	1.31081	0.45154	1.20451	0.92708	0.40129	1.71604	0.03249	2.65637	2.48817	1.73977	1.10274	2.15305	0.33434	1.68283	1.99570	0.99297	1.29873	1.96988	1.33565	1.14360	1.68297	2.27976	1.34831	1.10806	2.12884	0.44363	0.77431	1.50016	1.27975	0.85230	0.61027	0.96518	2.35137	2.67618	2.20956	1.80437	1.32351	0.93678
7	1.21152	2.03083	3.16527	2.13002	2.48846	2.82990	0.59597	3.11243	0.68716	1.15630	4.79710	1.51073	1.67277	1.69998	1.20955	0.19683	1.52821	1.38761	0.51286	1.90038	0.20764	4.14805	2.62711	1.98985	1.10696	2.13951	0.30342	1.40541	2.66544	1.15308	1.17183	1.84384	1.74305	1.37240	1.99441	2.48115	1.48352	0.85728	2.26951	0.51155	1.09122	2.43824	0.42041	1.15612	0.77891	1.07486	2.36946	2.79849	2.32952	2.01438	1.86781	1.68648
8	0.60651	0.85929	0.78115	0.68541	0.74195	0.92797	0.51671	1.19559	0.35215	0.56705	0.82941	0.34357	0.42514	0.61029	0.78720	0.18935	0.98878	0.44828	0.35953	0.60581	0.16497	0.81263	0.84590	0.57271	0.27185	0.79353	0.67033	0.59887	0.77411	0.64767	0.76475	0.92078	0.57451	0.50440	0.41001	1.37558	0.35959	0.53624	0.82934	1.03031	0.58491	1.80046	0.27876	0.79522	0.53016	0.49150	0.68777	0.77169	0.90151	0.94623	0.61909	0.47280
9	0.22936	4.24499	12.39608	10.59186	13.03530	11.16921	5.17130	9.37100	1.67950	6.25695	36.29251	7.79707	6.24341	5.22007	6.04284	0.19184	4.76355	5.73822	3.56663	6.80556	0.54350	24.98784	10.68277	6.92808	5.71492	6.22288	1.86109	2.97650	11.42415	4.97097	5.06857	4.31983	5.74515	4.29502	6.33287	10.56265	5.76274	2.69257	8.98652	1.18534	4.52831	8.12387	0.62272	4.61037	4.29921	5.29058	9.92689	10.13441	6.01708	7.85812	6.45949	6.50592
10	0.42862	3.27386	5.00661	6.96737	9.24211	9.25875	2.24340	8.39882	0.49871	3.18709	21.52078	3.99705	2.65174	3.61419	3.14830	0.44534	2.85604	3.18741	1.51627	4.45232	0.11434	17.24838	8.92937	4.91888	3.62788	4.96430	1.49467	2.76104	5.95848	1.59838	2.07982	5.26890	4.00148	2.07229	4.78102	4.59127	3.22867	3.87592	5.74521	2.14605	2.70509	3.54538	1.19820	2.30335	1.62556	2.79534	6.72661	7.47148	4.27821	4.11984	4.06826	4.27986
11	0.60215	12.82179	13.67905	15.21172	16.58617	3.45407	15.38466	7.59275	26.47471	22.45506	8.23932	18.78172	18.83560	6.06482	20.42265	13.29098	17.93889	14.57049	17.36326	16.32564	10.86085	9.92062	5.67817	18.46587	21.15075	6.38520	30.29647	6.03777	12.24007	17.97207	14.06190	5.83637	6.33034	23.75322	13.70274	10.84500	22.31293	18.49298	17.36054	26.58005	23.84531	9.13216	9.44203	22.89163	18.07069	22.95559	11.20507	9.62125	10.00315	15.81931	12.79931	11.43430
12	0.42271	12.70383	22.16615	15.44120	17.38547	14.01964	21.28523	9.67272	36.94370	18.27700	25.49665	23.14801	21.57474	5.29902	19.45105	10.92496	21.04918	13.13490	21.43861	14.67571	10.82872	16.78158	8.16218	18.85588	22.94046	9.20166	16.37073	6.39863	17.04694	25.70161	22.29000	8.08432	5.19049	22.32721	19.15051	23.86936	21.30329	12.82543	16.10012	12.81731	24.92225	11.73687	10.35642	21.72247	20.16955	20.50387	14.33691	11.55348	10.49515	16.16151	11.76726	8.05639
