state (Emission order)	Genome %	DNase.bed.gz	TF_Atf2_Haib.bed.gz	TF_Atf3_Haib.bed.gz	TF_Batf_Haib.bed.gz	TF_Bcl11a_Haib.bed.gz	TF_Bcl3_Haib.bed.gz	TF_Bclaf_Haib.bed.gz	TF_Bhlhe_Sydh.bed.gz	TF_Brca1_Sydh.bed.gz	TF_Cebpb_Haib.bed.gz	TF_Cfos_Sydh.bed.gz	TF_Chd1_Sydh.bed.gz	TF_Chd2_Sydh.bed.gz	TF_Cmyc_Uta.bed.gz	TF_Corest_Sydh.bed.gz	TF_Ctcf_Broad.bed.gz	TF_Ctcf_Sydh.bed.gz	TF_Ctcf_Uta.bed.gz	TF_Ctcf_Uw.bed.gz	TF_E2f4_Sydh.bed.gz	TF_Ebf1_Haib.bed.gz	TF_Ebf1_Sydh.bed.gz	TF_Egr1_Haib.bed.gz	TF_Elf1_Haib.bed.gz	TF_Elk1_Sydh.bed.gz	TF_Ets1_Haib.bed.gz	TF_Ezh2_Broad.bed.gz	TF_Foxm1_Haib.bed.gz	TF_Gabp_Haib.bed.gz	TF_Gcn5_Sydh.bed.gz	TF_Ikzf1_Sydh.bed.gz	TF_Irf3_Sydh.bed.gz	TF_Irf4_Haib.bed.gz	TF_Jund_Sydh.bed.gz	TF_Max_Sydh.bed.gz	TF_Maz_Sydh.bed.gz	TF_Mef2a_Haib.bed.gz	TF_Mef2c_Haib.bed.gz	TF_Mta3_Haib.bed.gz	TF_Mxi_Sydh.bed.gz	TF_Nfat_Haib.bed.gz	TF_Nfe2_Sydh.bed.gz	TF_Nfic_Haib.bed.gz	TF_NfkbTnfa_Sydh.bed.gz	TF_Nfya_Sydh.bed.gz	TF_Nfyb_Sydh.bed.gz	TF_Nrf1_Sydh.bed.gz	TF_Nrsf_Haib.bed.gz	TF_P300Iggmus_Sydh.bed.gz	TF_P300_Haib.bed.gz	TF_P300b_Sydh.bed.gz	TF_Pax5c20_Haib.bed.gz	TF_Pax5n19_Haib.bed.gz	TF_Pbx3_Haib.bed.gz	TF_Pml_Haib.bed.gz	TF_Pol24h8_Haib.bed.gz	TF_Pol2Iggmus_Sydh.bed.gz	TF_Pol2_Haib.bed.gz	TF_Pol2_Sydh.bed.gz	TF_Pol2_Uta.bed.gz	TF_Pol2s2_Sydh.bed.gz	TF_Pol3_Sydh.bed.gz	TF_Pou2f2_Haib.bed.gz	TF_Pu1_Haib.bed.gz	TF_Rad21_Haib.bed.gz	TF_Rad21_Sydh.bed.gz	TF_Rfx5_Sydh.bed.gz	TF_Runx3_Haib.bed.gz	TF_Rxra_Haib.bed.gz	TF_Sin3a_Sydh.bed.gz	TF_Six5_Haib.bed.gz	TF_Smc3_Sydh.bed.gz	TF_Sp1_Haib.bed.gz	TF_Spt20_Sydh.bed.gz	TF_Srf_Haib.bed.gz	TF_Stat1_Sydh.bed.gz	TF_Stat3_Sydh.bed.gz	TF_Stat5_Haib.bed.gz	TF_Taf1_Haib.bed.gz	TF_Tblr1_Sydh.bed.gz	TF_Tbp_Sydh.bed.gz	TF_Tcf12_Haib.bed.gz	TF_Tcf3_Haib.bed.gz	TF_Tr4_Sydh.bed.gz	TF_Usf1_Haib.bed.gz	TF_Usf2_Sydh.bed.gz	TF_Whip_Sydh.bed.gz	TF_Yy1_Haib.bed.gz	TF_Yy1_Sydh.bed.gz	TF_Zbtb33_Haib.bed.gz	TF_Zeb1_Haib.bed.gz	TF_Znf143_Sydh.bed.gz	TF_Znf274_Sydh.bed.gz	TF_Zzz3_Sydh.bed.gz
1	0.45105	9.01318	1.94746	6.58979	1.33993	2.12106	3.84694	4.06846	6.56111	1.30081	1.91054	4.58115	4.38376	4.93134	6.88433	4.58377	8.24462	8.39202	8.59572	8.73550	5.18047	6.06405	4.79799	11.77456	8.68983	3.45608	2.84733	64.16289	3.25071	4.59427	15.17562	2.03780	0.67800	2.66875	0.54604	8.08345	9.83278	2.07771	2.06576	2.79058	5.85858	2.33107	4.71097	1.61202	2.68933	3.15048	4.79205	7.15127	13.97054	2.41107	3.78161	1.97721	5.87223	4.75412	5.71528	2.85877	3.40637	4.98921	6.71910	3.84111	4.74736	3.72655	1.45550	3.78006	2.60885	6.94544	6.87250	4.24371	3.50905	3.26922	5.64683	1.81140	7.53646	4.74545	14.78045	4.84252	13.57731	1.60771	3.16998	4.22361	3.49226	3.29662	6.54983	6.87295	5.39222	8.94396	5.66882	3.82383	6.85220	1.01057	3.95307	11.40813	9.48118	5.19265	18.54497
2	5.74135	1.23261	0.90637	0.49471	0.97470	1.17150	1.62981	0.65531	0.99406	0.06111	1.00806	0.33130	0.64885	0.74528	0.33406	0.85268	0.90729	0.95722	0.96448	0.76236	0.18727	1.52145	1.65245	0.68557	0.68343	0.41078	0.30202	3.20800	0.75906	0.27620	0.08507	1.24769	0.00000	0.97758	0.73861	0.63064	0.64800	0.87777	0.87274	0.92280	0.54165	1.35721	0.63645	0.92393	1.20062	0.26187	0.97258	0.10704	2.44999	1.05376	1.18542	1.17632	0.99477	1.18144	1.24627	0.68757	0.72591	0.62344	0.52714	0.38233	0.57853	0.52886	0.00000	0.89373	1.26938	0.65897	0.58896	0.53194	0.97630	0.57492	0.40691	0.28340	0.52013	0.86216	0.00000	0.75145	1.00080	0.81109	1.13855	0.50966	0.91380	0.73692	1.21113	1.25157	1.77653	1.31014	0.89520	0.90177	0.55699	0.67375	0.68571	0.88050	0.36257	0.37957	1.98695
3	85.21136	0.38754	0.53320	0.11826	0.64428	0.62289	0.51040	0.22441	0.36170	0.02090	0.50596	0.07262	0.21903	0.26667	0.05790	0.30818	0.29520	0.34095	0.30495	0.23092	0.04504	0.46075	0.56775	0.15527	0.14640	0.10867	0.09750	0.18393	0.43248	0.05983	0.05759	0.60415	0.00545	0.51117	0.61527	0.14871	0.15246	0.57123	0.55683	0.45490	0.19972	0.51717	0.20358	0.60001	0.52693	0.08966	0.48759	0.02753	0.41278	0.58614	0.45798	0.64889	0.40304	0.46247	0.34611	0.28910	0.19536	0.18083	0.14308	0.07715	0.12113	0.13665	0.06099	0.35776	0.65062	0.26957	0.23920	0.20732	0.52677	0.19134	0.08544	0.11810	0.18570	0.31181	0.13327	0.25994	0.17018	0.49017	0.42329	0.14527	0.39784	0.29470	0.36978	0.32799	0.32440	0.27048	0.32174	0.25483	0.21795	0.44412	0.18003	0.15823	0.07720	1.06204	0.44485
4	0.78945	1.66289	1.26013	0.79997	1.19846	1.38779	2.48551	1.23657	0.80555	0.09458	1.21835	0.17055	0.39306	0.61597	0.19528	0.55545	0.96269	0.91494	0.89549	0.83628	0.11311	1.16625	1.10092	0.53108	0.48186	0.24519	0.33020	0.47340	0.98909	0.27122	0.27563	1.10564	0.00000	1.10956	0.87440	0.49413	0.36453	1.11082	1.06966	1.68345	0.63956	3.51625	1.65002	1.36602	1.20460	0.13843	0.75761	0.13741	0.70751	1.23317	1.09992	1.15248	1.15702	1.24112	1.22905	1.43788	6.45210	2.19298	5.92150	0.84472	1.50454	4.03293	0.00000	1.15001	1.27612	0.70340	0.59388	0.52284	1.22223	0.88849	0.32946	0.20751	0.58223	0.72486	0.00000	0.72642	0.43037	1.02794	2.14379	0.44239	0.92544	0.56160	0.84450	1.14871	5.63546	0.93986	0.87362	1.01212	0.64295	0.80901	1.13835	0.78027	0.34917	3.48736	1.38019
5	0.19308	5.69815	4.35653	1.25857	3.27099	3.83585	5.76151	7.44776	3.73944	0.00000	5.37790	0.99326	2.62064	4.03941	1.21558	2.10173	4.41160	4.06252	4.52302	4.81272	1.05068	4.93052	3.91918	3.18518	4.32662	1.85632	1.82214	3.05954	4.76806	1.27407	5.20314	2.77942	0.00000	5.07331	3.80569	2.99469	3.74181	3.40594	2.86498	6.90433	3.27952	9.06672	1.22131	3.56846	3.69549	1.25668	1.93403	1.12950	1.57839	3.67055	3.94226	3.62202	4.02702	4.61959	4.96007	4.92158	16.82504	7.10360	13.15263	4.48724	5.47878	11.84561	0.00000	5.27163	3.22868	4.73235	4.84355	2.23287	4.05638	5.51304	1.50651	0.60187	5.28395	3.12240	0.00000	2.88853	2.79872	4.10744	8.21873	1.46411	4.09596	1.92568	4.32241	4.51890	10.58122	3.93309	4.28615	5.76983	4.29061	2.65032	2.19513	4.50970	5.66118	0.00000	2.28214
6	3.54745	3.06282	3.34810	1.09312	3.86171	3.86418	3.60975	2.27458	3.01467	0.03408	3.94740	0.58954	2.03815	2.37473	0.84952	2.50418	1.37329	1.46912	1.36812	1.20401	0.52092	3.88573	3.78234	1.88314	1.94521	1.28273	0.96907	1.53522	2.92541	0.70798	0.27210	4.73291	0.22466	3.38237	4.14133	1.90284	1.89324	3.19472	3.31083	3.40376	2.05099	3.59989	1.42875	3.48587	3.70324	0.53111	1.88968	0.35910	1.32107	3.60909	3.87199	4.09090	2.74723	3.22287	3.11908	2.30549	1.95801	1.94354	1.52900	1.04547	1.33132	1.26337	0.33610	2.72189	3.26021	1.40260	1.30992	1.57447	3.20418	1.91684	1.22954	0.50963	1.27437	2.66659	0.00000	2.10070	1.92368	3.52748	3.11240	1.55266	3.08552	2.41430	3.34642	3.08972	2.36098	2.50253	2.95040	3.37299	1.65599	2.44809	1.15548	1.94829	0.76961	0.14308	1.95010
7	1.10277	3.33041	5.07770	1.25731	5.15382	5.36598	4.54874	3.01873	3.71612	0.17735	6.26308	0.72047	3.89408	3.38816	0.79302	4.24129	2.15483	2.02527	1.97153	2.01127	0.76933	4.80282	4.75738	2.16748	2.37157	1.88840	1.31057	2.07899	4.62059	0.91998	0.99707	7.29710	0.26975	4.73427	7.21598	2.56143	2.62464	4.68081	4.41270	5.09944	2.98000	4.65420	2.21738	5.34620	4.93829	0.68424	2.24525	0.41487	0.82740	5.25582	5.38017	6.05018	3.25961	4.17939	3.59518	3.58218	2.48768	2.82960	1.41220	1.32052	1.90364	1.53331	0.42452	3.64628	3.72139	2.37634	2.38807	2.37065	4.22751	2.78837	1.71713	0.60772	2.54506	3.54048	0.00000	2.93901	2.54384	5.97432	4.87186	2.32636	4.60334	3.81213	3.78888	3.57957	1.02349	2.55106	3.62346	4.54397	2.67658	3.99594	1.31899	2.03434	1.78934	0.46025	2.16784
8	0.83599	1.20813	1.82478	0.07490	2.02961	1.76010	1.43844	0.70139	1.03899	0.00000	1.82802	0.10263	1.07803	0.75681	0.08429	0.85171	0.70351	0.63671	0.55862	0.53182	0.27426	1.01655	1.35531	0.39259	0.34772	0.50960	0.22496	0.78240	1.53911	0.09564	0.20767	2.07644	0.00998	1.45875	3.36533	0.43086	0.45411	1.99336	1.77020	1.52789	0.77313	1.65514	0.22321	2.05736	1.64840	0.18607	0.85988	0.03871	0.17473	1.76115	1.31307	1.99830	0.95434	1.16097	0.97701	1.24697	0.77379	0.73130	0.29876	0.23840	0.44854	0.42027	0.00000	1.02894	1.39720	0.63438	0.67069	0.51462	1.51236	0.49056	0.37219	0.25582	0.63738	0.88185	0.00000	0.91977	0.26711	1.78329	1.46348	0.40321	1.32927	1.21464	0.82711	0.86782	0.27196	0.35253	0.77858	0.94943	0.68498	1.54142	0.32490	0.31145	0.38258	0.00000	1.34055
9	0.21936	8.13998	15.05920	3.54394	19.35227	18.73601	17.72184	12.21618	11.94708	0.48493	18.21748	2.72054	8.43829	10.84157	3.16844	12.59737	5.21298	5.59185	5.69584	5.59584	2.45043	11.77272	10.86674	6.94579	7.57417	5.43929	4.57111	5.35766	13.13214	2.19977	11.18559	16.19467	1.13639	16.24069	33.13321	7.18722	6.57603	13.45604	14.17157	12.56676	7.64517	14.58280	4.53830	13.33724	12.95189	2.27451	5.79400	2.33305	2.72193	14.87039	20.26932	22.17186	10.53892	13.08796	13.29291	9.75764	5.66970	6.91445	4.14277	3.57748	4.87208	4.25162	4.33491	11.32380	6.72231	7.77518	7.78020	7.86078	10.16626	11.87273	4.10923	1.15692	8.05106	12.41667	0.00000	11.16829	6.50300	16.05696	13.56098	5.92100	11.35822	10.12318	12.79493	12.68718	2.41082	7.45385	10.92521	9.49013	7.84024	5.12229	5.02555	9.16218	6.59103	0.00000	4.49852
10	0.21207	5.70866	7.72428	2.52833	14.05775	11.46882	9.12091	6.49303	5.87439	0.00000	8.80959	3.19148	2.53924	4.19395	0.75037	5.39078	3.74041	4.11635	4.27852	4.16277	0.89301	7.35046	6.88820	3.62850	3.47836	2.08922	1.79877	3.44332	6.66673	1.33391	2.13942	8.20877	2.25045	10.67890	21.06688	2.63576	2.64481	8.01856	8.23565	6.25812	3.20808	7.19289	3.98854	6.76346	6.72509	1.26897	3.18181	0.81505	2.89018	7.45385	10.02189	10.72851	6.32097	7.48112	7.96978	4.33477	1.39388	2.18203	1.10387	1.38887	1.25498	1.13661	5.84645	6.08210	4.39520	5.54062	4.90309	4.15814	6.42722	6.62911	1.19457	2.08586	5.04501	5.94491	0.00000	5.33723	1.77004	6.66338	5.89021	2.15174	5.64747	3.87084	7.03870	6.76357	1.33056	3.44305	4.50241	3.89142	4.38996	3.36522	3.05453	3.94762	4.30314	0.00000	0.75016
