state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	0.8143332272806773	0.14772834811768598	1.3802830409002012E-4	0.0013727899698043344	3.7339409422929617E-4	0.014979412944520475	4.230448859751734E-4	1.8228317371838212E-4	6.553381120355001E-5	0.0017289256228826331	0.01232750536333551	0.0015427067862195838	0.001551578625959675	0.0032532210196978906
2	0.013622954996386544	0.9382267451166336	0.04152678529074628	5.633730631601079E-5	0.0	0.0027269689677848017	0.0	2.96567198559391E-6	0.0	5.6160373067799564E-5	1.860991855010842E-4	0.0	0.0	0.0035949830915786053
3	2.0354639058547304E-6	0.002279180448889352	0.9843306843406676	3.796647998863792E-4	0.0	0.00825092547893747	1.2447510297157997E-4	9.782003243304057E-4	0.0	4.805996440380854E-4	5.149551062383637E-4	1.2187166206447165E-5	9.492801570587029E-6	0.0026375993223580153
4	3.070510549424063E-4	1.387578072878416E-4	0.017758170631710434	0.9502940069539858	0.020950785244857235	0.005135688815278097	0.0	0.0020313201718266775	0.0	0.0	7.510924270900419E-4	9.452950097846458E-5	1.1854491362650516E-5	0.002526742900680408
5	3.965763557193634E-4	0.0	0.0	0.11226141128956015	0.8311706848994733	0.019817044303995637	0.004488969186013802	0.00266127024444074	0.01175840289903704	0.0	0.0018656038507372168	0.014736187916782677	8.83687092933091E-5	7.554803449468019E-4
6	0.0017946252326837124	0.0033302707175131723	0.18949927959413096	0.0026977472176592265	0.0018157156502137033	0.6977835122370123	0.029995026944477476	0.004239289993925718	3.461385968324871E-4	0.04596842031360058	0.015303151144514941	0.002256673229585514	0.0	0.004970149127850337
7	1.9099771056885778E-4	0.0	0.010596479545129961	1.9475858251746204E-6	0.0015992040421287678	0.10458162165471775	0.6477101600530505	0.09678559420540712	0.0945896680135011	0.02156377180176374	2.734548471886023E-6	0.020722108716656498	5.6604316573873814E-5	0.001599107806204917
8	9.772440823105346E-5	2.972682019918915E-5	0.10315807261500087	0.004782855978238123	0.001187448077654412	0.02100239434256044	0.12675172207848562	0.7266022437016217	0.0028686737802673815	0.0028384897478756052	7.134791344497911E-4	0.003674445150595989	0.0025674760508337044	0.003725248113985777
9	2.3042512033257813E-4	0.0	0.0	0.0	0.011527413795585834	0.003421696255593786	0.30474597908528966	0.007392418925860533	0.6282700184268932	0.01625068474802949	0.0	0.026413714367873552	1.5563038801935092E-4	0.001592018886522012
10	0.0019706459833844	0.0010668966498263229	0.105779578854511	7.808759353263832E-5	0.0	0.44721178243323206	0.05921333908060355	0.005668626784841614	0.014236145565929106	0.3499723087203774	0.007169168688014944	0.004063809443727106	2.4331207820296226E-4	0.0033262981238169143
11	0.009622242112003155	0.001538350796172462	0.07968763623502992	0.0026649266144660477	0.0014870277762553698	0.10652586763024917	0.0	7.296856388947856E-4	0.0	0.005266584886832085	0.6474476985723966	0.05488477780893606	0.08112111228366675	0.009024089645097638
12	0.00164536240593306	0.0	0.00221123553920726	3.792149833682128E-4	0.01405220232619493	0.023454749574750727	0.06019420810783948	0.010077288809152568	0.023031702707118268	0.0043373833979235355	0.084450064413094	0.6507750967701847	0.12325488144101257	0.002136609524220667
13	0.0014046349451077862	0.0	0.0014466348265929111	8.715420772934493E-5	0.0	0.0	2.187198880735701E-4	0.00388065208533341	7.362937032180945E-5	1.474054762040621E-4	0.08501620565832058	0.08441206556319132	0.8225132945865807	7.996033925443785E-4
14	0.002702423941492603	0.02837006074987451	0.38160924418640413	0.007746602557595955	3.127261097515839E-4	0.03137688191800122	0.0029371332402458564	0.004868076733746689	9.676395630662465E-4	0.0018744311135271247	0.007883525893184291	9.919713727188206E-4	5.975893543468255E-4	0.5277616932660439
