State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.43201	2.45000	2.49632	2.57876	2.63801	2.74364	2.87242	2.95225	2.95225	3.04239	3.04239	2.93419	2.74871	2.60447	2.35717	2.16653	2.03772	1.91407	1.78269	1.79816	1.78528
2	1.37046	1.36656	1.37041	1.36736	1.36211	1.35160	1.34551	1.33914	1.33609	1.32226	1.32115	1.31949	1.32419	1.32116	1.34218	1.34384	1.33941	1.34881	1.34743	1.35353	1.33942
3	0.85872	0.85840	0.85874	0.85763	0.85709	0.85786	0.85913	0.85968	0.86016	0.86044	0.85944	0.86258	0.86975	0.87383	0.87653	0.87846	0.88081	0.88106	0.88317	0.88432	0.88432
4	3.67525	3.72154	3.81284	3.92875	4.02966	4.13058	4.21236	4.37186	4.48641	4.59546	4.66091	4.77682	4.84364	4.99369	5.04414	5.06460	5.06732	5.09051	5.11642	5.09328	5.03874
5	3.58107	3.82076	3.80538	3.90740	4.10124	4.16245	4.29504	4.37662	4.43783	4.61122	4.99378	5.11111	5.31004	5.37640	5.65185	5.68246	5.71817	5.75897	5.60084	5.61620	5.70802
6	1.56810	1.53883	1.50980	1.51588	1.52080	1.50817	1.49318	1.48311	1.48709	1.49081	1.50134	1.48567	1.45807	1.45972	1.47329	1.46884	1.45551	1.45247	1.44873	1.45389	1.45599
7	1.43831	1.42583	1.43359	1.39935	1.39001	1.31529	1.31839	1.28414	1.26001	1.35339	1.42499	1.43744	1.40709	1.37208	1.36041	1.37753	1.40165	1.40788	1.42189	1.40089	1.42657
8	1.43343	1.47071	1.42871	1.45358	1.47379	1.46602	1.49555	1.47688	1.44734	1.35560	1.22657	1.28565	1.31208	1.40692	1.35873	1.43490	1.41625	1.39759	1.40070	1.40071	1.41937
9	1.58277	1.61151	1.54982	1.50460	1.38538	1.57037	1.57858	1.48813	1.47579	1.43056	1.47167	1.50045	1.54566	1.61967	1.62790	1.77178	1.86221	1.94443	1.90743	1.93623	1.79235
10	1.26717	1.30675	1.36172	1.36172	1.32432	1.38152	1.30011	1.32210	1.35070	1.31549	1.39468	1.44747	1.31989	1.29790	1.22311	1.22311	1.27150	1.34190	1.23630	1.26931	1.45630
11	3.46702	3.49358	3.48412	3.43714	3.48725	3.48568	3.43397	3.43081	3.40262	3.41982	3.34622	3.24131	3.04714	2.81073	2.62126	2.40830	2.21413	2.14054	2.05128	1.99963	1.93386
12	4.16692	4.16907	4.19353	4.22030	4.11546	3.96378	3.82545	3.76742	3.78972	3.66701	3.72277	3.58894	3.31681	3.02241	2.91088	2.81051	2.85735	2.82612	2.81943	2.68339	2.56517
13	4.94876	4.88882	4.94167	4.99230	4.90944	4.96468	4.87487	4.70681	4.40069	4.11986	3.60430	2.97366	2.50644	2.13130	1.87352	1.69169	1.52367	1.45002	1.48224	1.46384	1.54900
14	1.70406	1.80100	1.75941	1.73516	1.74902	1.69534	1.66069	1.69530	1.75591	1.74031	1.94811	2.00525	1.90655	1.87713	1.84769	1.92042	1.93947	1.98103	1.93254	1.87195	1.92737
