State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.58480	2.68038	2.72564	2.74325	2.82127	2.83386	2.91436	3.04772	3.15846	3.26916	3.36731	3.23141	3.04014	2.80864	2.57207	2.38835	2.26754	2.15429	2.11654	1.97563	1.98066
2	1.31689	1.31469	1.30535	1.30123	1.29537	1.30014	1.29601	1.29383	1.28906	1.28254	1.28298	1.28536	1.28211	1.27843	1.27280	1.27084	1.26998	1.26933	1.26499	1.26370	1.25828
3	0.78494	0.78264	0.78284	0.78155	0.77912	0.77764	0.77781	0.77572	0.77528	0.77400	0.77198	0.77244	0.77912	0.78258	0.78348	0.78401	0.78422	0.78306	0.78390	0.78327	0.78364
4	3.31249	3.35867	3.39689	3.43866	3.48988	3.54159	3.59700	3.66061	3.72401	3.78538	3.82963	3.87712	3.93778	3.98928	4.04323	4.07729	4.10215	4.14044	4.16530	4.20014	4.21258
5	3.07256	3.04037	3.11583	3.16404	3.25403	3.37294	3.45165	3.50786	3.60106	3.69262	3.84045	3.96257	3.98025	4.09116	4.20204	4.37398	4.49610	4.54913	4.50414	4.43347	4.52346
6	1.29710	1.28261	1.23197	1.22715	1.22440	1.23679	1.19512	1.20234	1.15827	1.17409	1.18511	1.15034	1.12073	1.13623	1.14277	1.13692	1.13795	1.14484	1.12177	1.14485	1.12144
7	1.17168	1.15483	1.17524	1.14279	1.11636	1.07670	1.07068	1.04183	1.06467	1.07667	1.07187	1.07427	1.08028	1.03102	1.07548	1.05505	1.08509	1.05145	1.09831	1.11154	1.12236
8	1.21737	1.18370	1.21101	1.18158	1.21101	1.20681	1.15213	1.13110	1.12269	1.05961	1.03438	1.11637	1.14160	1.13951	1.07644	1.09115	1.08485	1.11428	1.05541	1.05122	1.15844
9	1.41468	1.38130	1.33026	1.31456	1.30475	1.29494	1.27924	1.26745	1.14581	1.18111	1.27136	1.28706	1.29687	1.26941	1.28511	1.28903	1.33024	1.38321	1.44992	1.45582	1.42246
10	0.90180	0.93822	0.95642	0.90905	0.93274	0.89812	0.92362	0.84163	0.89629	0.83252	0.88899	0.94546	0.79062	0.75601	0.78698	0.81249	0.85803	0.89264	0.88900	0.86168	0.88172
11	3.31351	3.28749	3.23878	3.30689	3.23391	3.20310	3.12846	3.07978	3.01815	3.02461	2.91433	3.00028	2.76837	2.56892	2.40998	2.25267	2.00616	1.91371	1.84235	1.80183	1.74020
12	4.02449	4.12940	4.01684	4.01184	3.97685	3.87936	3.73435	3.70182	3.61684	3.48433	3.44434	3.34186	3.28437	3.06444	2.87947	2.81948	2.87947	2.80699	2.82448	2.78702	2.72953
13	4.91681	4.89746	4.99013	4.96563	4.97788	4.87461	4.79230	4.65224	4.45270	4.20588	3.83132	3.26249	2.68315	2.26486	2.00582	1.86054	1.71702	1.63301	1.60325	1.62777	1.62077
14	1.49284	1.59875	1.53679	1.52375	1.54005	1.47812	1.47485	1.53839	1.59543	1.55793	1.67852	1.79097	1.60845	1.61661	1.65409	1.66387	1.65735	1.73232	1.67691	1.65085	1.59055
